ID,Nama Jurusan,Nama PTN,Fakultas,Lokasi,Akreditasi,Peminat 2024,Daya Tampung SNBP 2025,Daya Tampung SNBT 2025,Rasio Keketatan,Lama Studi Rata-rata (Bulan),Tingkat Kelulusan (%),Maks. Waktu Tunggu Kerja (Bulan),Gaji Awal Min,Gaji Awal Max,Prospek Kerja Utama,Prospek Kerja Alternatif,Kebutuhan Industri,Tingkat Persaingan Kerja,Keterampilan Utama,Tingkat Kesulitan,Sumber Data
178,Sastra Madura,Universitas Trunojoyo,FIB,Bangkalan,Baik,154,10,15,6.2,41,86,54,3800000,7600000,Peneliti Bahasa,Penerjemah,Menengah,Rendah,Bahasa Madura,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
179,Budaya Betawi,Universitas Negeri Jakarta,FBS,Jakarta,Baik,168,11,17,6.0,41,86,53,3900000,7800000,Peneliti Budaya,Pelestari Budaya,Menengah,Rendah,Studi Budaya,Sedang,https://penmaba.unj.ac.id/biaya-pendidikan/
180,Pendidikan Bahasa Indonesia,Universitas Brawijaya,FIB,Malang,Baik Sekali,385,20,30,7.7,41,89,43,4500000,9000000,Guru Bahasa Indonesia,Editor,Tinggi,Menengah,Pengajaran,Sedang,https://fib.ub.ac.id/studyprogrammes/
181,Studi Manajemen dan Kebijakan Kebudayaan,Institut Kesenian Jakarta,FSRD,Jakarta,Baik,274,15,23,7.2,41,88,46,4300000,8600000,Cultural Manager,Arts Administrator,Tinggi,Menengah,Manajemen Seni Budaya,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
182,Sastra Batak,Universitas Sumatera Utara,FIB,Medan,Baik,147,10,15,5.9,41,86,55,3800000,7600000,Peneliti Bahasa,Pelestari Budaya,Menengah,Rendah,Bahasa Batak,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
183,Kajian Wilayah Eropa,Universitas Indonesia,FISIP,Depok,Baik,296,16,24,7.4,42,88,45,4400000,8800000,Analis Regional,Diplomat,Tinggi,Menengah,Studi Regional,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
184,Perencanaan Wilayah dan Kota,Universitas Diponegoro,FT,Semarang,Baik Sekali,527,26,39,8.1,43,91,41,4700000,9400000,Urban Planner,Development Consultant,Tinggi,Menengah,Perencanaan Kota,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
185,Etika dan Filsafat Terapan,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Baik,203,13,19,6.3,43,85,58,4100000,8200000,Konsultan Etika,Peneliti,Menengah,Rendah,Pemikiran Kritis,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
186,Pendidikan IPS Terpadu,Universitas Negeri Yogyakarta,FIS,Yogyakarta,Baik Sekali,415,21,31,8.0,41,90,43,4400000,8800000,Guru IPS,Pengembang Kurikulum,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
187,Studi Diplomasi,Universitas Padjadjaran,FISIP,Jatinangor,Baik Sekali,462,22,33,8.4,42,90,42,4600000,9200000,Diplomat,Analis Hubungan Internasional,Tinggi,Menengah,Diplomasi,Sedang,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
188,Pariwisata Kelautan,Universitas Hasanuddin,Pariwisata,Makassar,Baik,284,15,23,7.5,41,89,44,4300000,8600000,Marine Tourism Manager,Dive Instructor,Tinggi,Menengah,Manajemen Pariwisata,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
189,Studi Perdamaian dan Resolusi Konflik,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Baik Sekali,325,17,25,7.7,42,89,45,4500000,9000000,Peace Builder,Conflict Mediator,Tinggi,Menengah,Resolusi Konflik,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
190,Ekonomi Pembangunan,Universitas Brawijaya,FEB,Malang,Baik Sekali,485,24,36,8.1,42,89,40,4600000,9200000,Analis Ekonomi,Development Specialist,Tinggi,Menengah,Analisis Ekonomi,Sedang,https://fib.ub.ac.id/studyprogrammes/
191,Statistika,Universitas Padjadjaran,FMIPA,Jatinangor,Baik Sekali,378,19,29,7.9,43,87,38,4700000,9500000,Data Analyst,Statistician,Tinggi,Menengah,Analisis Data,Sulit,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
192,Teknologi Pangan,Universitas Gadjah Mada,Fakultas Teknologi Pertanian,Yogyakarta,Unggul,425,22,33,7.7,44,90,37,4800000,9600000,Food Technologist,Quality Control,Tinggi,Menengah,Pengembangan Produk,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
193,Ilmu Lingkungan,Universitas Indonesia,FMIPA,Depok,Baik Sekali,392,20,30,7.8,43,88,42,4700000,9500000,Environmental Specialist,Sustainability Officer,Tinggi,Menengah,Analisis Lingkungan,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
194,Konservasi Biodiversitas,Universitas Padjadjaran,FMIPA,Jatinangor,Baik,258,15,22,7.0,43,86,47,4500000,9000000,Conservation Specialist,Biodiversity Officer,Tinggi,Rendah,Penelitian Biodiversitas,Sedang,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
195,Manajemen Sumber Daya Perairan,Universitas Diponegoro,FPIK,Semarang,Baik Sekali,313,17,25,7.5,43,87,43,4500000,9000000,Fisheries Manager,Aquatic Resource Analyst,Tinggi,Menengah,Pengelolaan Perairan,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
196,Agribisnis,Universitas Hasanuddin,Fakultas Pertanian,Makassar,Baik Sekali,342,18,27,7.6,42,89,40,4400000,8800000,Agrisbisnis Consultant,Farm Manager,Tinggi,Menengah,Manajemen Pertanian,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
197,Budidaya Perairan,Universitas Airlangga,FPK,Surabaya,Baik Sekali,287,16,24,7.2,43,88,41,4500000,9000000,Aquaculture Specialist,Fish Farm Manager,Tinggi,Rendah,Budidaya Ikan,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
198,Agroekoteknologi,Universitas Brawijaya,Fakultas Pertanian,Malang,Baik Sekali,312,17,25,7.4,43,89,39,4600000,9200000,Agricultural Specialist,Eco-farming Consultant,Tinggi,Menengah,Teknologi Pertanian,Sedang,https://fib.ub.ac.id/studyprogrammes/
199,Kehutanan,Universitas Gadjah Mada,Fakultas Kehutanan,Yogyakarta,Unggul,268,15,23,7.1,43,87,42,4500000,9000000,Forestry Expert,Conservation Manager,Tinggi,Rendah,Pengelolaan Hutan,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
200,Teknik Geodesi,Universitas Gadjah Mada,FT,Yogyakarta,Baik Sekali,325,18,27,7.2,44,88,37,4800000,9600000,Surveyor,Geodetic Engineer,Tinggi,Menengah,Pemetaan,Sulit,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
201,Teknik Lingkungan,Universitas Diponegoro,FT,Semarang,Baik Sekali,387,20,30,7.7,44,89,38,4700000,9400000,Environmental Engineer,Sustainability Consultant,Tinggi,Menengah,Rekayasa Lingkungan,Sulit,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
202,Bioteknologi,Universitas Indonesia,FMIPA,Depok,Unggul,428,21,32,8.1,45,90,36,5000000,10000000,Biotechnologist,Research Scientist,Tinggi,Tinggi,Rekayasa Genetika,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
203,Meteorologi,Institut Teknologi Bandung,FITB,Bandung,Baik Sekali,248,14,21,7.1,44,86,44,4600000,9200000,Meteorologist,Climate Analyst,Tinggi,Rendah,Analisis Cuaca,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
204,Teknologi Hasil Perikanan,Universitas Brawijaya,FPIK,Malang,Baik Sekali,278,15,23,7.3,43,88,40,4500000,9000000,Food Technologist,Quality Control,Tinggi,Rendah,Pengolahan Hasil Perikanan,Sedang,https://fib.ub.ac.id/studyprogrammes/
205,Ilmu Tanah,Universitas Gadjah Mada,Fakultas Pertanian,Yogyakarta,Baik Sekali,232,14,21,6.6,43,87,43,4400000,8800000,Soil Scientist,Agricultural Consultant,Tinggi,Rendah,Analisis Tanah,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
206,Perencanaan Pertanian,Institut Pertanian Bogor,Fakultas Pertanian,Bogor,Baik Sekali,265,15,22,7.2,43,88,41,4600000,9200000,Agricultural Planner,Farming Consultant,Tinggi,Rendah,Perencanaan Lahan,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
207,Teknologi Industri Pertanian,Universitas Brawijaya,FTP,Malang,Baik Sekali,292,16,24,7.3,43,89,38,4700000,9400000,Agricultural Engineer,Production Manager,Tinggi,Menengah,Teknologi Produksi,Sedang,https://fib.ub.ac.id/studyprogrammes/
208,Manajemen Sumber Daya Hutan,Universitas Hasanuddin,Fakultas Kehutanan,Makassar,Baik,245,14,21,7.0,43,87,44,4500000,9000000,Forest Manager,Conservation Officer,Tinggi,Rendah,Pengelolaan Hutan,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
209,Teknologi Kelautan,Institut Teknologi Sepuluh Nopember,FTK,Surabaya,Baik Sekali,304,16,24,7.6,44,88,39,4800000,9600000,Marine Technologist,Offshore Engineer,Tinggi,Menengah,Teknologi Laut,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
210,Teknik Pertambangan,Universitas Sriwijaya,FT,Palembang,Baik Sekali,375,19,29,7.8,44,88,38,4900000,9800000,Mining Engineer,Resource Manager,Tinggi,Menengah,Teknik Ekstraksi,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
211,Teknologi Pascapanen,Institut Pertanian Bogor,FATETA,Bogor,Baik,268,15,22,7.3,43,87,41,4600000,9200000,Post-harvest Technologist,Quality Assurance,Tinggi,Rendah,Pengolahan Hasil Pertanian,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
212,Teknik Geologi,Universitas Padjadjaran,FMIPA,Jatinangor,Baik Sekali,328,17,26,7.6,44,87,39,4800000,9600000,Geologist,Resource Analyst,Tinggi,Menengah,Analisis Geologi,Sulit,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
213,Budidaya Pertanian,Universitas Gadjah Mada,Fakultas Pertanian,Yogyakarta,Baik Sekali,256,15,22,6.9,43,88,42,4500000,9000000,Agricultural Specialist,Farm Manager,Tinggi,Rendah,Budidaya Tanaman,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
214,Astronomi,Institut Teknologi Bandung,FMIPA,Bandung,Baik Sekali,235,13,20,7.1,44,84,45,4600000,9200000,Astronomer,Research Scientist,Tinggi,Rendah,Astronomi,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
215,Geofisika,Universitas Indonesia,FMIPA,Depok,Baik Sekali,268,15,22,7.3,44,85,44,4700000,9400000,Geophysicist,Resource Analyst,Tinggi,Rendah,Analisis Geofisika,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
216,Statistika,Institut Teknologi Bandung,FMIPA,Bandung,Baik Sekali,342,18,27,7.6,43,87,40,4800000,9600000,Statistician,Data Scientist,Tinggi,Menengah,Analisis Statistik,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
217,Aktuaria,Universitas Indonesia,FMIPA,Depok,Baik Sekali,325,17,25,7.7,44,86,39,5100000,10200000,Actuary,Risk Analyst,Tinggi,Menengah,Analisis Risiko,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
218,Geologi,Universitas Gadjah Mada,FT,Yogyakarta,Baik Sekali,287,16,24,7.2,44,85,42,4800000,9600000,Geologist,Mining Consultant,Tinggi,Rendah,Analisis Geologi,Sulit,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
219,Bioteknologi,Institut Teknologi Bandung,SITH,Bandung,Baik Sekali,358,18,27,8.0,44,88,38,5000000,10000000,Biotechnologist,Research Scientist,Tinggi,Menengah,Bioteknologi,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
220,Gizi,Universitas Brawijaya,FK,Malang,Baik Sekali,685,24,36,11.4,45,89,37,4700000,9400000,Ahli Gizi,Nutrition Consultant,Tinggi,Menengah,Ilmu Gizi,Sulit,https://fib.ub.ac.id/studyprogrammes/
221,Kesehatan Masyarakat,Universitas Airlangga,FKM,Surabaya,Baik Sekali,724,26,39,11.1,46,88,39,4600000,9200000,Public Health Specialist,Health Program Manager,Tinggi,Menengah,Kesehatan Publik,Sulit,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
222,Psikologi,Universitas Indonesia,FPsi,Depok,Unggul,1235,35,52,14.2,46,91,34,5200000,10500000,Psikolog,Konselor,Tinggi,Tinggi,Analisis Perilaku,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
223,Radiologi,Universitas Hasanuddin,FK,Makassar,Baik Sekali,425,18,27,9.4,47,87,40,4900000,9800000,Radiografer,Medical Imaging Specialist,Tinggi,Menengah,Pencitraan Medis,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
224,Hukum,Universitas Indonesia,FH,Depok,Unggul,1634,44,66,14.8,46,93,33,5500000,11000000,Pengacara,Legal Consultant,Tinggi,Tinggi,Analisis Hukum,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
225,Akuntansi,Universitas Gadjah Mada,FEB,Yogyakarta,Unggul,1452,40,60,14.5,45,92,34,5300000,10600000,Akuntan,Auditor,Tinggi,Tinggi,Akuntansi,Sulit,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
226,Manajemen,Institut Teknologi Bandung,SBM,Bandung,Unggul,1545,42,63,14.7,45,93,32,5400000,10800000,Manager,Business Consultant,Tinggi,Tinggi,Manajemen Bisnis,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
227,Ekonomi,Universitas Padjadjaran,FEB,Jatinangor,Unggul,1348,38,57,14.2,44,91,35,5200000,10400000,Ekonom,Analis Ekonomi,Tinggi,Tinggi,Analisis Ekonomi,Sulit,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
228,Hubungan Internasional,Universitas Indonesia,FISIP,Depok,Unggul,1246,36,54,13.8,45,90,37,5000000,10000000,Diplomat,International Relations Specialist,Tinggi,Tinggi,Diplomasi,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
229,Ilmu Komunikasi,Universitas Padjadjaran,FISIP,Jatinangor,Unggul,1124,34,51,13.2,44,89,38,4900000,9800000,Public Relations,Media Specialist,Tinggi,Menengah,Komunikasi,Sulit,https://www.kompas.com/edu/read/2023/04/18/095254271/biaya-kuliah-jurusan-hukum-ui-ugm-unpad-unair-ub
230,Administrasi Publik,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Unggul,865,28,42,12.4,43,88,40,4800000,9600000,Public Administrator,Policy Analyst,Tinggi,Menengah,Administrasi Pemerintahan,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
231,Administrasi Bisnis,Universitas Brawijaya,FIA,Malang,Baik Sekali,742,26,39,11.4,43,87,41,4700000,9400000,Business Administrator,Management Consultant,Tinggi,Menengah,Administrasi Perusahaan,Sedang,https://fib.ub.ac.id/studyprogrammes/
232,Arsitektur,Universitas Gadjah Mada,FT,Yogyakarta,Unggul,925,30,45,12.3,45,90,37,5200000,10400000,Arsitek,Urban Planner,Tinggi,Tinggi,Desain Arsitektur,Sulit,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
233,Desain Interior,Universitas Indonesia,FTUI,Depok,Baik Sekali,845,27,41,12.5,44,89,38,5000000,10000000,Interior Designer,Design Consultant,Tinggi,Menengah,Desain Ruang,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
234,Desain Produk,Institut Teknologi Bandung,FSRD,Bandung,Unggul,892,29,43,12.4,44,90,37,5100000,10200000,Product Designer,Design Consultant,Tinggi,Menengah,Desain Produk,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
235,Desain Komunikasi Visual,Universitas Airlangga,FSRD,Surabaya,Baik Sekali,875,28,42,12.5,43,89,38,4900000,9800000,Graphic Designer,Visual Communication Specialist,Tinggi,Menengah,Desain Grafis,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
236,Seni Murni,Institut Seni Indonesia Yogyakarta,FSR,Yogyakarta,Baik Sekali,328,17,25,7.8,42,88,46,4500000,9000000,Fine Artist,Art Curator,Tinggi,Rendah,Seni Rupa,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
237,Musik,Institut Seni Indonesia Jakarta,FSP,Jakarta,Baik Sekali,354,18,27,7.9,42,89,44,4600000,9200000,Musisi,Music Teacher,Tinggi,Rendah,Musik,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
238,Teater,Institut Kesenian Jakarta,FSP,Jakarta,Baik,287,15,23,7.6,42,86,48,4400000,8800000,Aktor,Theater Director,Tinggi,Rendah,Teater,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
239,Tari,Institut Seni Indonesia Surakarta,FSP,Surakarta,Baik,265,14,21,7.6,42,87,47,4300000,8600000,Penari,Dance Teacher,Tinggi,Rendah,Tari,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
240,Film dan Televisi,Institut Seni Indonesia Yogyakarta,FSMR,Yogyakarta,Baik Sekali,432,21,31,8.3,43,90,43,4700000,9400000,Film Director,TV Producer,Tinggi,Menengah,Produksi Film,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
241,Animasi,Institut Teknologi Bandung,FSRD,Bandung,Baik Sekali,478,22,33,8.7,43,91,42,4800000,9600000,Animator,Animation Director,Tinggi,Menengah,Animasi,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
242,Pendidikan Guru Sekolah Dasar,Universitas Pendidikan Indonesia,FIP,Bandung,Unggul,942,31,46,12.2,43,91,38,4800000,9600000,Guru SD,Pengembang Kurikulum,Tinggi,Menengah,Pengajaran,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
243,Pendidikan Bahasa Indonesia,Universitas Negeri Yogyakarta,FBS,Yogyakarta,Unggul,765,27,40,11.4,42,90,42,4600000,9200000,Guru Bahasa Indonesia,Editor,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
244,Pendidikan Ekonomi,Universitas Negeri Malang,FE,Malang,Baik Sekali,532,24,36,8.9,42,89,41,4700000,9400000,Guru Ekonomi,Konsultan Pendidikan,Tinggi,Menengah,Pengajaran,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
245,Pendidikan Sejarah,Universitas Pendidikan Indonesia,FPIPS,Bandung,Unggul,425,22,33,7.7,41,88,45,4500000,9000000,Guru Sejarah,Peneliti Sejarah,Tinggi,Menengah,Pengajaran,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
246,Pendidikan Geografi,Universitas Negeri Yogyakarta,FIS,Yogyakarta,Baik Sekali,415,21,31,7.9,42,87,46,4600000,9200000,Guru Geografi,Urban Planner,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
247,Pendidikan Pancasila dan Kewarganegaraan,Universitas Negeri Jakarta,FIS,Jakarta,Baik Sekali,435,22,33,7.9,42,88,45,4500000,9000000,Guru PPKn,Konsultan Kebijakan,Tinggi,Menengah,Pengajaran,Sedang,https://penmaba.unj.ac.id/biaya-pendidikan/
248,Pendidikan Luar Biasa,Universitas Pendidikan Indonesia,FIP,Bandung,Baik Sekali,375,19,29,7.8,42,89,44,4600000,9200000,Guru PLB,Special Needs Educator,Tinggi,Menengah,Pendidikan Khusus,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
249,Pendidikan Anak Usia Dini,Universitas Negeri Yogyakarta,FIP,Yogyakarta,Baik Sekali,428,21,32,8.1,41,90,43,4500000,9000000,Guru PAUD,Konsultan Pendidikan Anak,Tinggi,Menengah,Pendidikan Anak,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
250,Teknologi Pendidikan,Universitas Negeri Jakarta,FIP,Jakarta,Baik Sekali,392,20,30,7.8,42,89,44,4600000,9200000,Education Technologist,Instructional Designer,Tinggi,Menengah,Teknologi Pembelajaran,Sedang,https://penmaba.unj.ac.id/biaya-pendidikan/
251,Bimbingan dan Konseling,Universitas Pendidikan Indonesia,FIP,Bandung,Baik Sekali,432,22,33,7.8,42,90,42,4600000,9200000,Konselor,School Counselor,Tinggi,Menengah,Konseling,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
252,Pendidikan Jasmani,Universitas Negeri Yogyakarta,FIK,Yogyakarta,Baik Sekali,485,24,36,8.1,42,89,43,4500000,9000000,Guru Olahraga,Sports Coach,Tinggi,Menengah,Olahraga,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
253,Kesehatan Masyarakat,Universitas Indonesia,FKM,Depok,Unggul,745,26,39,11.5,46,90,38,4800000,9600000,Public Health Specialist,Health Program Manager,Tinggi,Menengah,Kesehatan Publik,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
254,Ilmu Gizi,Universitas Indonesia,FKM,Depok,Baik Sekali,642,24,36,10.7,45,88,39,4600000,9200000,Ahli Gizi,Nutrition Consultant,Tinggi,Menengah,Ilmu Gizi,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
255,Fisioterapi,Universitas Hasanuddin,FK,Makassar,Baik Sekali,524,22,33,9.5,45,87,41,4700000,9400000,Fisioterapis,Rehabilitation Specialist,Tinggi,Menengah,Rehabilitasi Fisik,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
256,Teknik Biomedis,Universitas Indonesia,FT,Depok,Baik Sekali,482,21,31,9.3,46,88,40,5000000,10000000,Biomedical Engineer,Medical Technology Specialist,Tinggi,Menengah,Teknologi Medis,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
257,Ilmu Keolahragaan,Universitas Negeri Jakarta,FIK,Jakarta,Baik Sekali,415,20,30,8.3,44,88,42,4600000,9200000,Sport Scientist,Athletic Trainer,Tinggi,Menengah,Keolahragaan,Sedang,https://penmaba.unj.ac.id/biaya-pendidikan/
258,Ilmu Komunikasi,Universitas Indonesia,FISIP,Depok,Unggul,1156,34,51,13.6,45,91,36,5200000,10400000,Public Relations,Media Specialist,Tinggi,Tinggi,Komunikasi,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
259,Ilmu Politik,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Unggul,845,28,42,12.1,44,90,38,4900000,9800000,Analis Politik,Political Researcher,Tinggi,Menengah,Analisis Politik,Sulit,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
260,Sosiologi,Universitas Indonesia,FISIP,Depok,Baik Sekali,678,26,39,10.4,43,89,42,4800000,9600000,Sosiolog,Social Researcher,Tinggi,Menengah,Analisis Sosial,Sedang,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
261,Antropologi,Universitas Gadjah Mada,FISIPOL,Yogyakarta,Baik Sekali,425,21,31,8.2,42,88,44,4700000,9400000,Antropolog,Cultural Researcher,Tinggi,Menengah,Analisis Budaya,Sedang,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
262,Psikologi,Universitas Airlangga,FPsi,Surabaya,Unggul,1054,32,48,13.2,46,90,36,5100000,10200000,Psikolog,Konselor,Tinggi,Tinggi,Analisis Perilaku,Sulit,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
263,Manajemen,Universitas Indonesia,FEB,Depok,Unggul,1456,40,60,14.6,45,92,34,5300000,10600000,Manager,Business Consultant,Tinggi,Tinggi,Manajemen Bisnis,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
264,Akuntansi,Universitas Airlangga,FEB,Surabaya,Unggul,1342,38,57,14.1,45,91,35,5200000,10400000,Akuntan,Auditor,Tinggi,Tinggi,Akuntansi,Sulit,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
265,Ekonomi,Universitas Gadjah Mada,FEB,Yogyakarta,Unggul,1278,36,54,14.2,44,90,36,5100000,10200000,Ekonom,Analis Ekonomi,Tinggi,Tinggi,Analisis Ekonomi,Sulit,https://um.ugm.ac.id/uang-kuliah-tunggal-ukt-snbp-dan-snbt-ta-2024-2025/
266,Bisnis Digital,Universitas Indonesia,FEB,Depok,Baik Sekali,986,30,45,13.1,44,89,38,5000000,10000000,Digital Business Specialist,E-commerce Manager,Tinggi,Tinggi,Digital Marketing,Sulit,https://www.dataptn.com/daftar-jurusan-di-ui-universitas-indonesia-terbaru/
267,Kewirausahaan,Universitas Brawijaya,FEB,Malang,Baik Sekali,845,28,42,12.1,43,88,39,4900000,9800000,Entrepreneur,Business Developer,Tinggi,Menengah,Entrepreneurship,Sedang,https://fib.ub.ac.id/studyprogrammes/
